
         4  2.756775E-04  3.101209E-02  4.826239E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7221191E+01

         4  2.842117E-04  3.238488E-02  5.009297E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7335226E+01

         4  2.931107E-04  3.396296E-02  5.236851E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7449261E+01

         4  3.020233E-04  3.559770E-02  5.500541E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7563296E+01

         4  3.108409E-04  3.717188E-02  5.778562E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7677331E+01

         4  3.194310E-04  3.856996E-02  6.045439E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7791366E+01

         4  3.274890E-04  3.966879E-02  6.285574E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7905401E+01

         4  3.349617E-04  4.042293E-02  6.483706E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8019436E+01

         4  3.419838E-04  4.086011E-02  6.625502E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8133470E+01

         4  3.485557E-04  4.102595E-02  6.711479E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8247505E+01

         4  3.548037E-04  4.102059E-02  6.751437E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8361540E+01

         4  3.610671E-04  4.100055E-02  6.755457E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8475575E+01

         4  3.675376E-04  4.109963E-02  6.742303E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8589610E+01

         4  3.743127E-04  4.142074E-02  6.737625E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8703645E+01

         4  3.816030E-04  4.205657E-02  6.760527E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8817680E+01

         4  3.894758E-04  4.303556E-02  6.825774E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8931714E+01

         4  3.977712E-04  4.430418E-02  6.947227E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9045749E+01

